════════════════════════════════════════════════════════════
                    模擬下注報表
════════════════════════════════════════════════════════════

【基本資訊】
  開始時間: 2026/1/16 上午7:34:53
  結束時間: 2026/1/16 上午7:42:55
  模擬時長: 8 分鐘
  模擬玩家: 30 人

【總計統計】
  總期數: 7 期
  總下注筆數: 1111 筆
  總下注金額: $1,643,400
  系統總損益: $689,600

────────────────────────────────────────────────────────────
【各期開獎記錄】
────────────────────────────────────────────────────────────
  期數          開獎  下注數  總金額      系統損益
  01160457  undefined    170筆   $  257400  $  109800
  01160458  undefined    101筆   $  140100  $   86100
  01160459  undefined    105筆   $  149300  $   86500
  01160460  undefined    182筆   $  273300  $  149100
  01160461  undefined    108筆   $  149200  $   71600
  01160462  undefined    182筆   $  251100  $  100500
  01160463  undefined    105筆   $  174000  $   86000

────────────────────────────────────────────────────────────
【玩家損益排行】
────────────────────────────────────────────────────────────
  玩家        下注數  總下注      勝/負     損益
  玩家016     30筆   $   51600  11/15        -$3300
  玩家024     37筆   $   41500  14/19        -$4700
  玩家011     33筆   $   35500  8/21        -$5100
  玩家013     38筆   $   62600  10/19        -$6900
  玩家010     36筆   $   49400  7/25       -$10100
  玩家025     36筆   $   58400  12/18       -$11200
  玩家021     40筆   $   41200  11/23       -$11700
  玩家018     40筆   $   71600  7/27       -$12400
  玩家022     33筆   $   50700  10/20       -$13700
  玩家002     34筆   $   33500  8/22       -$14100
  玩家012     35筆   $   61200  6/21       -$17400
  玩家004     29筆   $   38300  5/18       -$17900
  玩家019     25筆   $   23600  3/18       -$19600
  玩家001     41筆   $   53500  11/25       -$21100
  玩家009     38筆   $   64400  9/25       -$23500
  玩家030     45筆   $   66900  10/30       -$24300
  玩家026     38筆   $   40000  11/23       -$24600
  玩家023     33筆   $   68300  5/22       -$25100
  玩家029     46筆   $   62600  11/28       -$27300
  玩家003     24筆   $   36100  3/17       -$27700
  玩家020     39筆   $   49300  5/29       -$28400
  玩家028     37筆   $   53700  7/26       -$28600
  玩家014     25筆   $   37200  4/16       -$29400
  玩家008     47筆   $   62900  8/31       -$30000
  玩家005     36筆   $   43400  6/26       -$30700
  玩家017     46筆   $   81100  11/25       -$34300
  玩家007     32筆   $   62300  6/23       -$37700
  玩家027     41筆   $   78100  10/27       -$41100
  玩家015     46筆   $   65700  7/33       -$44000
  玩家006     51筆   $   98800  8/37       -$63700

────────────────────────────────────────────────────────────
【詳細下注記錄】
────────────────────────────────────────────────────────────
  時間      期數          玩家        目標    金額      結果    損益
  上午7:35:15  01160456  玩家019    12  $ 2000  未中    -$2000
  上午7:35:16  01160456  玩家012     雙  $  200  中獎     +$200
  上午7:35:16  01160456  玩家010     小  $ 5000  中獎    +$5000
  上午7:35:16  01160456  玩家015    06  $  100  未中     -$100
  上午7:35:17  01160456  玩家019    39  $  500  未中     -$500
  上午7:35:17  01160456  玩家015    39  $  500  未中     -$500
  上午7:35:17  01160456  玩家011     大  $  100  未中     -$100
  上午7:35:18  01160456  玩家029     小  $  500  中獎     +$500
  上午7:35:18  01160456  玩家027    15  $ 2000  未中    -$2000
  上午7:35:18  01160456  玩家016    29  $ 1000  未中    -$1000
  上午7:35:18  01160456  玩家025     小  $  200  中獎     +$200
  上午7:35:18  01160456  玩家010     單  $  100  未中     -$100
  上午7:35:19  01160456  玩家009     大  $ 2000  未中    -$2000
  上午7:35:19  01160456  玩家006    16  $ 2000  未中    -$2000
  上午7:35:19  01160456  玩家008     雙  $ 2000  中獎    +$2000
  上午7:35:19  01160456  玩家011     單  $ 2000  未中    -$2000
  上午7:35:19  01160456  玩家001     大  $ 1000  未中    -$1000
  上午7:35:19  01160456  玩家022    09  $  200  未中     -$200
  上午7:35:20  01160456  玩家018    30  $ 5000  未中    -$5000
  上午7:35:20  01160456  玩家025    14  $ 2000  未中    -$2000
  上午7:35:20  01160456  玩家001    34  $  100  未中     -$100
  上午7:35:20  01160456  玩家028     單  $ 2000  未中    -$2000
  上午7:35:20  01160456  玩家015     大  $  500  未中     -$500
  上午7:35:20  01160456  玩家012     單  $ 1000  未中    -$1000
  上午7:35:20  01160456  玩家027     大  $ 2000  未中    -$2000
  上午7:35:21  01160456  玩家005     雙  $  200  中獎     +$200
  上午7:35:21  01160456  玩家030     單  $  100  未中     -$100
  上午7:35:21  01160456  玩家006     雙  $  100  中獎     +$100
  上午7:35:21  01160456  玩家002    21  $  200  未中     -$200
  上午7:35:22  01160456  玩家030     大  $  200  未中     -$200
  上午7:35:22  01160456  玩家019    07  $ 1000  未中    -$1000
  上午7:35:22  01160456  玩家029     小  $  500  中獎     +$500
  上午7:35:23  01160456  玩家024     雙  $  500  中獎     +$500
  上午7:35:23  01160456  玩家012    11  $  100  未中     -$100
  上午7:35:24  01160456  玩家003    29  $  100  未中     -$100
  上午7:35:24  01160456  玩家027     大  $  500  未中     -$500
  上午7:35:24  01160456  玩家020     小  $ 5000  中獎    +$5000
  上午7:35:25  01160456  玩家018     小  $ 5000  中獎    +$5000
