════════════════════════════════════════════════════════════
                    模擬下注報表
════════════════════════════════════════════════════════════

【基本資訊】
  開始時間: 2026/1/16 上午7:43:08
  結束時間: 2026/1/16 上午7:47:13
  模擬時長: 4.1 分鐘
  模擬玩家: 30 人

【總計統計】
  總期數: 4 期
  總下注筆數: 578 筆
  總下注金額: $826,400
  系統總損益: $508,300

────────────────────────────────────────────────────────────
【各期開獎記錄】
────────────────────────────────────────────────────────────
  期數          開獎  下注數  總金額      系統損益
  01160465  undefined    115筆   $  157500  $  103300
  01160466  undefined    177筆   $  262500  $  168500
  01160467  undefined    184筆   $  241500  $  139300
  01160468  undefined    100筆   $  163400  $   97200

────────────────────────────────────────────────────────────
【玩家損益排行】
────────────────────────────────────────────────────────────
  玩家        下注數  總下注      勝/負     損益
  玩家019     15筆   $   20100  6/9        +$7100
  玩家014     22筆   $   36400  8/14        -$4000
  玩家006     17筆   $   16000  5/12        -$7600
  玩家018     21筆   $   17800  9/12        -$8000
  玩家026     13筆   $   12900  3/10        -$8500
  玩家003     16筆   $   23200  3/12       -$11800
  玩家015     18筆   $   27600  3/15       -$12600
  玩家028     15筆   $   17600  3/12       -$12800
  玩家004     18筆   $   18400  2/16       -$13400
  玩家020     25筆   $   28300  5/20       -$13700
  玩家007     15筆   $   24000  2/13       -$13800
  玩家016     18筆   $   17200  4/14       -$13800
  玩家022     21筆   $   32800  6/15       -$15000
  玩家024     21筆   $   28100  4/17       -$15700
  玩家027     20筆   $   24900  3/17       -$16700
  玩家010     20筆   $   29300  5/15       -$17900
  玩家008     17筆   $   27400  6/11       -$18000
  玩家005     20筆   $   27900  6/14       -$18300
  玩家013     21筆   $   26500  6/14       -$19000
  玩家009     18筆   $   24800  6/12       -$19600
  玩家021     31筆   $   34000  9/22       -$20400
  玩家002     12筆   $   21000  1/11       -$20600
  玩家011     20筆   $   32000  3/17       -$20600
  玩家017     18筆   $   25300  4/14       -$20700
  玩家001     22筆   $   38800  7/15       -$24000
  玩家030     17筆   $   35200  4/13       -$24200
  玩家012     22筆   $   36100  4/18       -$28900
  玩家029     19筆   $   30400  1/18       -$30000
  玩家025     26筆   $   46400  5/21       -$32000
  玩家023     20筆   $   46000  4/16       -$33800

────────────────────────────────────────────────────────────
【詳細下注記錄】
────────────────────────────────────────────────────────────
  時間      期數          玩家        目標    金額      結果    損益
  上午7:43:17  01160464  玩家017     大  $ 5000  未中    -$5000
  上午7:43:17  01160464  玩家008    26  $  500  未中     -$500
  上午7:43:18  01160464  玩家018    08  $  500  未中     -$500
  上午7:43:18  01160464  玩家020    25  $  100  未中     -$100
  上午7:43:19  01160464  玩家003     小  $  100  中獎     +$100
  上午7:43:19  01160464  玩家003    24  $ 1000  未中    -$1000
  上午7:43:19  01160464  玩家021     大  $ 1000  未中    -$1000
  上午7:43:19  01160464  玩家023     單  $ 5000  未中    -$5000
  上午7:43:20  01160464  玩家030     大  $ 1000  未中    -$1000
  上午7:43:20  01160464  玩家010     小  $ 1000  中獎    +$1000
  上午7:43:20  01160464  玩家017    16  $ 5000  未中    -$5000
  上午7:43:20  01160464  玩家020     雙  $  100  中獎     +$100
  上午7:43:21  01160464  玩家021    06  $  500  未中     -$500
  上午7:43:21  01160464  玩家005    36  $  200  未中     -$200
  上午7:43:22  01160464  玩家023    36  $  200  未中     -$200
  上午7:43:22  01160464  玩家015     小  $  500  中獎     +$500
  上午7:43:22  01160464  玩家029    17  $  100  未中     -$100
  上午7:43:22  01160464  玩家015    23  $  200  未中     -$200
  上午7:43:23  01160464  玩家021    13  $  500  未中     -$500
  上午7:43:23  01160464  玩家024    25  $ 5000  未中    -$5000
  上午7:43:24  01160464  玩家020    22  $ 1000  未中    -$1000
  上午7:43:24  01160464  玩家010    23  $  100  未中     -$100
  上午7:43:24  01160464  玩家009     小  $  100  中獎     +$100
  上午7:43:24  01160464  玩家022    19  $  500  未中     -$500
  上午7:43:25  01160464  玩家027     大  $  200  未中     -$200
  上午7:43:25  01160464  玩家003    25  $  200  未中     -$200
  上午7:43:25  01160464  玩家014    02  $ 2000  未中    -$2000
  上午7:43:25  01160464  玩家027    39  $  500  未中     -$500
  上午7:43:25  01160464  玩家002     單  $ 5000  未中    -$5000
  上午7:43:25  01160464  玩家016     小  $  500  中獎     +$500
  上午7:43:26  01160464  玩家006     小  $ 1000  中獎    +$1000
  上午7:43:26  01160464  玩家025    05  $ 5000  未中    -$5000
  上午7:43:26  01160464  玩家030    10  $  200  未中     -$200
  上午7:43:27  01160464  玩家004    29  $  100  未中     -$100
  上午7:43:27  01160464  玩家005    22  $ 5000  未中    -$5000
  上午7:43:27  01160464  玩家014     小  $ 2000  中獎    +$2000
  上午7:43:27  01160464  玩家011    30  $  200  未中     -$200
  上午7:43:28  01160464  玩家029     大  $ 1000  未中    -$1000
  上午7:43:28  01160464  玩家028    25  $ 1000  未中    -$1000
  上午7:43:28  01160464  玩家013     小  $  200  中獎     +$200
  上午7:43:29  01160464  玩家013    04  $ 5000  未中    -$5000
  上午7:43:29  01160464  玩家010     小  $  200  中獎     +$200
  上午7:43:29  01160464  玩家004     雙  $  500  中獎     +$500
  上午7:43:29  01160464  玩家030     單  $  200  未中     -$200
  上午7:43:29  01160464  玩家006     小  $  500  中獎     +$500
  上午7:43:29  01160464  玩家013     大  $  500  未中     -$500
  上午7:43:30  01160464  玩家009    28  $ 1000  未中    -$1000
  上午7:43:30  01160464  玩家005    23  $  500  未中     -$500
  上午7:43:30  01160464  玩家006     雙  $  200  中獎     +$200
  上午7:43:30  01160464  玩家007     雙  $ 5000  中獎    +$5000
  上午7:43:31  01160464  玩家018    18  $  200  未中     -$200
  上午7:43:31  01160464  玩家022     單  $  200  未中     -$200
  上午7:43:31  01160464  玩家023    01  $  500  未中     -$500
  上午7:43:31  01160464  玩家025     大  $ 5000  未中    -$5000
  上午7:43:31  01160464  玩家019     雙  $  500  中獎     +$500
  上午7:43:31  01160464  玩家017     單  $  100  未中     -$100
  上午7:43:32  01160464  玩家018     雙  $ 1000  中獎    +$1000
  上午7:43:32  01160464  玩家016    14  $ 2000  未中    -$2000
  上午7:43:33  01160464  玩家015    15  $ 2000  未中    -$2000
  上午7:43:33  01160464  玩家029    13  $  200  未中     -$200
  上午7:43:33  01160464  玩家006     小  $  500  中獎     +$500
  上午7:43:34  01160464  玩家024     小  $ 5000  中獎    +$5000
  上午7:43:34  01160464  玩家026    13  $ 1000  未中    -$1000
  上午7:43:34  01160464  玩家021     雙  $  200  中獎     +$200
  上午7:43:35  01160464  玩家024     單  $  100  未中     -$100
  上午7:43:35  01160464  玩家013    11  $ 2000  未中    -$2000
  上午7:43:35  01160464  玩家012     單  $ 1000  未中    -$1000
  上午7:43:35  01160464  玩家027    27  $ 2000  未中    -$2000
  上午7:43:36  01160464  玩家022    07  $  100  未中     -$100
  上午7:43:36  01160464  玩家025     小  $ 1000  中獎    +$1000
  上午7:43:36  01160464  玩家011    11  $  200  未中     -$200
  上午7:43:36  01160464  玩家005     單  $ 1000  未中    -$1000
  上午7:43:37  01160464  玩家001     單  $ 2000  未中    -$2000
  上午7:43:37  01160464  玩家013    24  $  200  未中     -$200
  上午7:43:37  01160464  玩家022    27  $  200  未中     -$200
  上午7:43:38  01160464  玩家014    02  $  200  未中     -$200
  上午7:43:38  01160464  玩家003     單  $ 1000  未中    -$1000
  上午7:43:39  01160464  玩家009     小  $  200  中獎     +$200
  上午7:43:39  01160464  玩家029    29  $  500  未中     -$500
  上午7:43:40  01160464  玩家021     單  $  500  未中     -$500
  上午7:43:40  01160464  玩家030    31  $ 2000  未中    -$2000
  上午7:43:40  01160464  玩家005     雙  $  500  中獎     +$500
  上午7:43:40  01160464  玩家013    19  $  200  未中     -$200
  上午7:43:41  01160464  玩家014    22  $  200  未中     -$200
  上午7:43:41  01160464  玩家028     大  $ 5000  未中    -$5000
  上午7:43:42  01160464  玩家030     單  $ 5000  未中    -$5000
  上午7:43:43  01160464  玩家014    18  $ 1000  未中    -$1000
  上午7:43:43  01160464  玩家010     大  $  100  未中     -$100
  上午7:43:43  01160464  玩家024    12  $  200  未中     -$200
  上午7:43:43  01160464  玩家028    03  $ 1000  未中    -$1000
  上午7:43:43  01160464  玩家001     單  $  500  未中     -$500
