════════════════════════════════════════════════════════════
                    模擬下注報表
════════════════════════════════════════════════════════════

【基本資訊】
  開始時間: 2026/1/16 上午7:47:28
  結束時間: 2026/1/16 上午7:57:31
  模擬時長: 10.1 分鐘
  模擬玩家: 30 人

【總計統計】
  總期數: 10 期
  總下注筆數: 1246 筆
  總下注金額: $1,912,800
  系統總損益: $1,077,300

────────────────────────────────────────────────────────────
【各期開獎記錄】
────────────────────────────────────────────────────────────
  期數          開獎  下注數  總金額      系統損益
  01160469  undefined     27筆   $   53400  $   37000
  01160470  undefined    181筆   $  277200  $  130400
  01160471  undefined    108筆   $  181600  $  105800
  01160472  undefined     91筆   $  147100  $   96100
  01160473  undefined    180筆   $  266700  $  184100
  01160474  undefined    112筆   $  149100  $   87900
  01160475  undefined     96筆   $  127400  $   53000
  01160476  undefined    125筆   $  157600  $  107200
  01160477  undefined    165筆   $  304000  $  189400
  01160478  undefined    115筆   $  178000  $   86400

────────────────────────────────────────────────────────────
【玩家損益排行】
────────────────────────────────────────────────────────────
  玩家        下注數  總下注      勝/負     損益
  玩家014     39筆   $   42800  14/23        +$2600
  玩家017     51筆   $   87600  16/33       -$13300
  玩家018     38筆   $   64300  11/26       -$14900
  玩家021     33筆   $   48500  9/22       -$21700
  玩家027     44筆   $   51100  10/33       -$22000
  玩家023     28筆   $   34600  4/23       -$22400
  玩家015     38筆   $   45200  10/27       -$24100
  玩家003     38筆   $   50800  7/29       -$25800
  玩家020     39筆   $   56000  10/27       -$29300
  玩家022     35筆   $   38600  6/24       -$29900
  玩家025     44筆   $   74400  12/31       -$32700
  玩家026     38筆   $   55500  7/30       -$33600
  玩家001     49筆   $   65300  11/35       -$34100
  玩家007     46筆   $   51300  7/36       -$34800
  玩家024     33筆   $   61700  7/26       -$36100
  玩家011     49筆   $   76200  10/38       -$36800
  玩家009     41筆   $   63000  11/29       -$37000
  玩家016     42筆   $   59800  6/36       -$38400
  玩家008     35筆   $   80900  10/24       -$38900
  玩家028     46筆   $   76100  15/29       -$42300
  玩家030     48筆   $   82500  10/36       -$44300
  玩家019     41筆   $   58500  7/31       -$45100
  玩家002     43筆   $   74300  11/31       -$45300
  玩家010     39筆   $   65900  9/30       -$45500
  玩家004     45筆   $   57800  9/35       -$47000
  玩家006     43筆   $   62400  10/31       -$49400
  玩家013     44筆   $   73100  9/35       -$56900
  玩家005     49筆   $   73400  9/39       -$58300
  玩家029     47筆   $   92600  6/38       -$59200
  玩家012     41筆   $   88600  10/30       -$60800

────────────────────────────────────────────────────────────
【詳細下注記錄】
────────────────────────────────────────────────────────────
  時間      期數          玩家        目標    金額      結果    損益
  上午7:47:44  01160468  玩家006    05  $ 5000  未中    -$5000
  上午7:47:44  01160468  玩家002    10  $ 2000  未中    -$2000
  上午7:47:45  01160468  玩家001    33  $  200  未中     -$200
  上午7:47:45  01160468  玩家012     單  $ 5000  未中    -$5000
  上午7:47:45  01160468  玩家003    11  $  100  未中     -$100
  上午7:47:46  01160468  玩家008    18  $ 2000  未中    -$2000
  上午7:47:47  01160468  玩家028     雙  $ 1000  中獎    +$1000
  上午7:47:47  01160468  玩家028     小  $ 1000  中獎    +$1000
  上午7:47:47  01160468  玩家024    01  $ 5000  未中    -$5000
  上午7:47:48  01160468  玩家006    39  $  500  未中     -$500
  上午7:47:48  01160468  玩家021     單  $ 2000  未中    -$2000
  上午7:47:49  01160468  玩家029     大  $  100  未中     -$100
  上午7:47:49  01160468  玩家019    27  $  200  未中     -$200
  上午7:47:49  01160468  玩家014     單  $ 1000  未中    -$1000
  上午7:47:49  01160468  玩家014     小  $ 1000  中獎    +$1000
  上午7:47:50  01160468  玩家017    34  $  500  未中     -$500
  上午7:47:50  01160468  玩家027     雙  $  200  中獎     +$200
  上午7:47:50  01160468  玩家005     單  $  100  未中     -$100
  上午7:47:50  01160468  玩家028     小  $ 1000  中獎    +$1000
  上午7:47:50  01160468  玩家001    20  $  500  未中     -$500
  上午7:47:50  01160468  玩家025    32  $ 5000  未中    -$5000
  上午7:47:51  01160468  玩家029     小  $ 2000  中獎    +$2000
  上午7:47:51  01160468  玩家029    33  $ 5000  未中    -$5000
  上午7:47:51  01160468  玩家025     單  $ 5000  未中    -$5000
  上午7:47:51  01160468  玩家029     小  $ 2000  中獎    +$2000
  上午7:47:51  01160468  玩家016    38  $ 5000  未中    -$5000
  上午7:47:52  01160468  玩家018     大  $ 1000  未中    -$1000
  上午7:48:13  01160469  玩家013     雙  $  500  中獎     +$500
  上午7:48:14  01160469  玩家017     小  $ 5000  中獎    +$5000
  上午7:48:14  01160469  玩家014     單  $  100  未中     -$100
  上午7:48:14  01160469  玩家010     單  $  100  未中     -$100
  上午7:48:15  01160469  玩家025     單  $  200  未中     -$200
  上午7:48:15  01160469  玩家006     大  $ 1000  未中    -$1000
  上午7:48:16  01160469  玩家006    30  $  500  未中     -$500
  上午7:48:16  01160469  玩家014    25  $ 1000  未中    -$1000
  上午7:48:16  01160469  玩家013    31  $ 5000  未中    -$5000
  上午7:48:17  01160469  玩家010    34  $  100  未中     -$100
  上午7:48:17  01160469  玩家010     大  $ 2000  未中    -$2000
  上午7:48:17  01160469  玩家002    33  $ 5000  未中    -$5000
  上午7:48:17  01160469  玩家006     大  $  100  未中     -$100
