════════════════════════════════════════════════════════════
                    模擬下注報表
════════════════════════════════════════════════════════════

【基本資訊】
  開始時間: 2026/1/16 上午8:06:14
  結束時間: 2026/1/16 上午8:16:18
  模擬時長: 10.1 分鐘
  模擬玩家: 30 人

【總計統計】
  總期數: 10 期
  總下注筆數: 1193 筆
  總下注金額: $1,757,500
  系統總損益: $-362,000

────────────────────────────────────────────────────────────
【各期開獎記錄】
────────────────────────────────────────────────────────────
  期數          開獎  下注數  總金額      系統損益
  01160488  undefined     83筆   $  113300  $   -5900
  01160489  undefined     96筆   $  135700  $  -44700
  01160490  undefined    104筆   $  158200  $  -51200
  01160491  undefined    113筆   $  186200  $  -48400
  01160492  undefined     97筆   $  129100  $  -75900
  01160493  undefined    141筆   $  226100  $  -55900
  01160494  undefined    188筆   $  257000  $    2800
  01160495  undefined     85筆   $  127300  $   26100
  01160496  undefined    178筆   $  272700  $ -149100
  01160497  undefined    105筆   $  146600  $   40200

────────────────────────────────────────────────────────────
【玩家損益排行】
────────────────────────────────────────────────────────────
  玩家        下注數  總下注      勝/負     損益
  玩家006     26筆   $   43000  8/18       +$83600
  玩家030     37筆   $   61100  9/28       +$72500
  玩家010     32筆   $   60400  14/18       +$68400
  玩家021     42筆   $   74700  9/33       +$58300
  玩家019     35筆   $   52400  11/24       +$52400
  玩家001     45筆   $   71100  16/29       +$51300
  玩家029     44筆   $   62700  12/32       +$50500
  玩家008     38筆   $   51300  12/26       +$37100
  玩家017     43筆   $   48300  10/33       +$35300
  玩家025     47筆   $   64200  16/31       +$31400
  玩家005     45筆   $   44900  14/31       +$18300
  玩家026     43筆   $   53900  13/30       +$17300
  玩家014     46筆   $   71400  13/33       +$16200
  玩家004     30筆   $   57600  7/23        +$8800
  玩家011     42筆   $   57400  17/25        +$8000
  玩家007     40筆   $   48900  7/33        +$7500
  玩家016     35筆   $   47700  6/29        +$5300
  玩家022     39筆   $   58900  13/26        -$5500
  玩家018     45筆   $   69100  10/35        -$6500
  玩家013     34筆   $   48100  7/27        -$6700
  玩家003     45筆   $   47800  14/31        -$9400
  玩家023     51筆   $   91700  14/36       -$12200
  玩家012     37筆   $   66500  10/27       -$15700
  玩家020     34筆   $   65900  12/22       -$18100
  玩家002     38筆   $   43900  13/25       -$20700
  玩家009     39筆   $   58300  7/32       -$22300
  玩家028     36筆   $   52400  8/28       -$30600
  玩家024     41筆   $   53200  5/36       -$32600
  玩家027     35筆   $   61700  7/27       -$37900
  玩家015     49筆   $   69000  11/37       -$42000

────────────────────────────────────────────────────────────
【詳細下注記錄】
────────────────────────────────────────────────────────────
  時間      期數          玩家        目標    金額      結果    損益
  上午8:06:27  01160487  玩家003     單  $ 5000  未中    -$5000
  上午8:06:28  01160487  玩家013     小  $  100  中獎     +$100
  上午8:06:28  01160487  玩家020    03  $ 2000  未中    -$2000
  上午8:06:29  01160487  玩家018    04  $ 5000  未中    -$5000
  上午8:06:29  01160487  玩家002     小  $  100  中獎     +$100
  上午8:06:30  01160487  玩家029    09  $  100  未中     -$100
  上午8:06:30  01160487  玩家023     小  $  100  中獎     +$100
  上午8:06:30  01160487  玩家016    09  $ 5000  未中    -$5000
  上午8:06:31  01160487  玩家029     單  $ 2000  未中    -$2000
  上午8:06:31  01160487  玩家005     綠  $  200  未中     -$200
  上午8:06:31  01160487  玩家003     小  $  200  中獎     +$200
  上午8:06:31  01160487  玩家013    08  $  100  未中     -$100
  上午8:06:32  01160487  玩家025     大  $  500  未中     -$500
  上午8:06:32  01160487  玩家007    30  $  200  未中     -$200
  上午8:06:32  01160487  玩家012    30  $  500  未中     -$500
  上午8:06:33  01160487  玩家030     藍  $ 5000  未中    -$5000
  上午8:06:33  01160487  玩家012     單  $  100  未中     -$100
  上午8:06:33  01160487  玩家017    30  $  500  未中     -$500
  上午8:06:33  01160487  玩家008    11  $  200  未中     -$200
  上午8:06:34  01160487  玩家012    30  $ 2000  未中    -$2000
  上午8:06:34  01160487  玩家009     雙  $  100  中獎     +$100
  上午8:06:34  01160487  玩家026    36  $  500  未中     -$500
  上午8:06:34  01160487  玩家025     藍  $ 5000  未中    -$5000
  上午8:06:35  01160487  玩家024     紅  $  200  中獎    +$2200
  上午8:06:35  01160487  玩家021    13  $ 1000  未中    -$1000
  上午8:06:35  01160487  玩家029     大  $ 2000  未中    -$2000
  上午8:06:35  01160487  玩家026     小  $ 1000  中獎    +$1000
  上午8:06:35  01160487  玩家010    36  $ 1000  未中    -$1000
  上午8:06:36  01160487  玩家005     綠  $  100  未中     -$100
  上午8:06:36  01160487  玩家009     單  $ 2000  未中    -$2000
  上午8:06:36  01160487  玩家012     雙  $ 1000  中獎    +$1000
  上午8:06:37  01160487  玩家017    13  $ 1000  未中    -$1000
  上午8:06:37  01160487  玩家009     單  $ 2000  未中    -$2000
  上午8:06:37  01160487  玩家001     大  $  100  未中     -$100
  上午8:06:37  01160487  玩家030     紅  $ 5000  中獎   +$55000
  上午8:06:38  01160487  玩家029     小  $ 5000  中獎    +$5000
  上午8:06:38  01160487  玩家015     單  $  500  未中     -$500
  上午8:06:38  01160487  玩家022    10  $ 1000  未中    -$1000
  上午8:06:38  01160487  玩家003    29  $ 1000  未中    -$1000
  上午8:06:39  01160487  玩家021    20  $  100  未中     -$100
  上午8:06:39  01160487  玩家014     雙  $  200  中獎     +$200
  上午8:06:40  01160487  玩家025    05  $  100  未中     -$100
  上午8:06:40  01160487  玩家027    05  $ 1000  未中    -$1000
  上午8:06:40  01160487  玩家029    27  $ 1000  未中    -$1000
  上午8:06:40  01160487  玩家021     單  $  200  未中     -$200
  上午8:06:40  01160487  玩家009    37  $  200  未中     -$200
  上午8:06:41  01160487  玩家008    03  $  100  未中     -$100
  上午8:06:41  01160487  玩家008    13  $  100  未中     -$100
  上午8:06:41  01160487  玩家005     小  $ 5000  中獎    +$5000
  上午8:06:41  01160487  玩家003     單  $ 2000  未中    -$2000
  上午8:06:42  01160487  玩家015     藍  $ 2000  未中    -$2000
  上午8:06:42  01160487  玩家003    34  $  200  未中     -$200
  上午8:06:42  01160487  玩家015     小  $  100  中獎     +$100
  上午8:06:42  01160487  玩家011     大  $ 2000  未中    -$2000
  上午8:06:42  01160487  玩家012    03  $ 5000  未中    -$5000
  上午8:06:43  01160487  玩家024     小  $ 2000  中獎    +$2000
  上午8:06:43  01160487  玩家010     小  $  100  中獎     +$100
  上午8:06:43  01160487  玩家028     小  $ 1000  中獎    +$1000
  上午8:06:43  01160487  玩家009    09  $  200  未中     -$200
  上午8:06:44  01160487  玩家014     藍  $  100  未中     -$100
  上午8:06:44  01160487  玩家015     小  $ 2000  中獎    +$2000
  上午8:06:44  01160487  玩家011     小  $  500  中獎     +$500
  上午8:06:45  01160487  玩家023    16  $  500  未中     -$500
  上午8:06:45  01160487  玩家022     小  $ 5000  中獎    +$5000
  上午8:06:45  01160487  玩家018     藍  $ 1000  未中    -$1000
  上午8:06:45  01160487  玩家004     紅  $  200  中獎    +$2200
  上午8:06:46  01160487  玩家024    19  $  500  未中     -$500
  上午8:06:46  01160487  玩家020     大  $ 1000  未中    -$1000
  上午8:06:46  01160487  玩家026    31  $ 2000  未中    -$2000
  上午8:06:46  01160487  玩家018     單  $  100  未中     -$100
  上午8:06:46  01160487  玩家029     大  $ 1000  未中    -$1000
  上午8:06:47  01160487  玩家008    08  $ 2000  未中    -$2000
  上午8:06:47  01160487  玩家022     大  $  500  未中     -$500
  上午8:06:48  01160487  玩家021     單  $ 1000  未中    -$1000
  上午8:06:49  01160487  玩家023     綠  $ 5000  未中    -$5000
  上午8:06:49  01160487  玩家027    21  $  500  未中     -$500
  上午8:06:50  01160487  玩家001     雙  $  200  中獎     +$200
