════════════════════════════════════════════════════════════
                    模擬下注報表
════════════════════════════════════════════════════════════

【基本資訊】
  開始時間: 2026/1/16 上午8:19:33
  結束時間: 2026/1/16 上午8:29:37
  模擬時長: 10.1 分鐘
  模擬玩家: 30 人

【總計統計】
  總期數: 10 期
  總下注筆數: 1235 筆
  總下注金額: $1,873,000
  系統總損益: $-373,200

────────────────────────────────────────────────────────────
【各期開獎記錄】
────────────────────────────────────────────────────────────
  期數          開獎  下注數  總金額      系統損益
  01160501  undefined     32筆   $   50200  $   43400
  01160502  undefined    188筆   $  293200  $   64600
  01160503  undefined    136筆   $  212400  $ -120200
  01160504  undefined    102筆   $  140000  $  -14200
  01160505  undefined     97筆   $  131400  $ -218200
  01160506  undefined    113筆   $  185200  $   55000
  01160507  undefined    110筆   $  192300  $  -36100
  01160508  undefined    129筆   $  199700  $  -48900
  01160509  undefined    172筆   $  232900  $ -126100
  01160510  undefined    102筆   $  156900  $   27500

────────────────────────────────────────────────────────────
【玩家損益排行】
────────────────────────────────────────────────────────────
  玩家        下注數  總下注      勝/負     損益
  玩家023     37筆   $   68300  8/28       +$93100
  玩家001     33筆   $   38400  14/17       +$81700
  玩家020     31筆   $   56500  5/25       +$78300
  玩家009     48筆   $   75100  16/28       +$63300
  玩家008     38筆   $   51600  9/27       +$56800
  玩家026     40筆   $   65000  17/22       +$53400
  玩家018     50筆   $   81200  15/33       +$52200
  玩家003     36筆   $   74000  13/19       +$48600
  玩家006     33筆   $   56800  9/24       +$33200
  玩家017     41筆   $   49500  9/28       +$30300
  玩家024     39筆   $   55300  8/28       +$28600
  玩家022     44筆   $   72700  7/35       +$26900
  玩家025     37筆   $   48300  7/28       +$21900
  玩家019     36筆   $   28600  7/26       +$17900
  玩家013     53筆   $   81100  17/35       +$11500
  玩家002     46筆   $   59800  14/30       +$11100
  玩家030     34筆   $   35300  8/22        +$6600
  玩家014     39筆   $   52400  8/30        -$6000
  玩家005     39筆   $   81000  14/25       -$17400
  玩家007     53筆   $   86300  11/41       -$20600
  玩家021     46筆   $   79500  14/31       -$22700
  玩家029     37筆   $   50000  12/24       -$22700
  玩家004     38筆   $   59100  9/28       -$23500
  玩家015     42筆   $   51200  10/31       -$23600
  玩家016     43筆   $   65300  5/37       -$23900
  玩家010     47筆   $   61900  11/34       -$26500
  玩家011     41筆   $   60500  9/29       -$28900
  玩家028     42筆   $   70100  8/33       -$36700
  玩家012     48筆   $   71600  11/36       -$42400
  玩家027     44筆   $   86600  10/32       -$47300

────────────────────────────────────────────────────────────
【詳細下注記錄】
────────────────────────────────────────────────────────────
  時間      期數          玩家        目標    金額      結果    損益
  上午8:19:43  01160500  玩家014     大  $ 2000  未中    -$2000
  上午8:19:43  01160500  玩家029     大  $  100  未中     -$100
  上午8:19:44  01160500  玩家028     小  $  100  中獎     +$100
  上午8:19:44  01160500  玩家019     綠  $  500  未中     -$500
  上午8:19:44  01160500  玩家005     單  $ 5000  未中    -$5000
  上午8:19:45  01160500  玩家014    23  $ 5000  未中    -$5000
  上午8:19:45  01160500  玩家030    05  $ 1000  未中    -$1000
  上午8:19:45  01160500  玩家008     單  $  100  未中     -$100
  上午8:19:45  01160500  玩家016    30  $  100  未中     -$100
  上午8:19:45  01160500  玩家002    24  $ 1000  未中    -$1000
  上午8:19:46  01160500  玩家005     紅  $  200  中獎    +$2200
  上午8:19:46  01160500  玩家023    18  $  500  未中     -$500
  上午8:19:46  01160500  玩家027    39  $  100  未中     -$100
  上午8:19:46  01160500  玩家028     單  $ 2000  未中    -$2000
  上午8:19:46  01160500  玩家009     藍  $  500  未中     -$500
  上午8:19:47  01160500  玩家009    27  $  100  未中     -$100
  上午8:19:47  01160500  玩家015    20  $ 2000  未中    -$2000
  上午8:19:47  01160500  玩家001     小  $  100  中獎     +$100
  上午8:19:48  01160500  玩家007     小  $ 2000  中獎    +$2000
  上午8:19:48  01160500  玩家014    25  $ 1000  未中    -$1000
  上午8:19:48  01160500  玩家012     綠  $ 5000  未中    -$5000
  上午8:19:49  01160500  玩家007     大  $ 5000  未中    -$5000
  上午8:19:49  01160500  玩家022     綠  $ 2000  未中    -$2000
  上午8:19:50  01160500  玩家004     單  $ 2000  未中    -$2000
  上午8:19:50  01160500  玩家002    28  $ 2000  未中    -$2000
  上午8:19:50  01160500  玩家010     藍  $  200  未中     -$200
  上午8:19:50  01160500  玩家024     大  $ 5000  未中    -$5000
  上午8:19:50  01160500  玩家020    22  $  200  未中     -$200
  上午8:19:51  01160500  玩家013     單  $ 5000  未中    -$5000
  上午8:19:51  01160500  玩家029    17  $  100  未中     -$100
  上午8:19:51  01160500  玩家011    37  $  100  未中     -$100
  上午8:19:52  01160500  玩家007     藍  $  200  未中     -$200
  上午8:20:13  01160501  玩家019     大  $  500  未中     -$500
  上午8:20:14  01160501  玩家004     紅  $  100  中獎    +$1100
  上午8:20:14  01160501  玩家004     雙  $  200  中獎     +$200
  上午8:20:14  01160501  玩家024    37  $  100  未中     -$100
  上午8:20:15  01160501  玩家012     大  $  200  未中     -$200
  上午8:20:15  01160501  玩家013    38  $ 5000  未中    -$5000
  上午8:20:15  01160501  玩家008    24  $  200  未中     -$200
  上午8:20:15  01160501  玩家003     單  $ 5000  未中    -$5000
  上午8:20:16  01160501  玩家027     大  $  200  未中     -$200
  上午8:20:16  01160501  玩家014    22  $  200  未中     -$200
  上午8:20:16  01160501  玩家012     綠  $ 5000  未中    -$5000
  上午8:20:17  01160501  玩家007    26  $  500  未中     -$500
  上午8:20:17  01160501  玩家009    05  $ 1000  未中    -$1000
  上午8:20:17  01160501  玩家021    07  $ 5000  未中    -$5000
  上午8:20:17  01160501  玩家010     雙  $  500  中獎     +$500
  上午8:20:17  01160501  玩家007    29  $ 2000  未中    -$2000
  上午8:20:18  01160501  玩家003    21  $  200  未中     -$200
  上午8:20:18  01160501  玩家021     綠  $  200  未中     -$200
  上午8:20:18  01160501  玩家030    23  $  500  未中     -$500
  上午8:20:18  01160501  玩家014     綠  $ 5000  未中    -$5000
  上午8:20:18  01160501  玩家025     大  $  100  未中     -$100
  上午8:20:19  01160501  玩家024     綠  $  500  未中     -$500
  上午8:20:19  01160501  玩家022     雙  $  500  中獎     +$500
  上午8:20:19  01160501  玩家022     紅  $ 5000  中獎   +$55000
  上午8:20:20  01160501  玩家010     雙  $  500  中獎     +$500
  上午8:20:20  01160501  玩家002     大  $ 2000  未中    -$2000
  上午8:20:20  01160501  玩家004    27  $ 1000  未中    -$1000
  上午8:20:20  01160501  玩家013     大  $ 1000  未中    -$1000
  上午8:20:21  01160501  玩家007     單  $ 1000  未中    -$1000
  上午8:20:21  01160501  玩家013    12  $  500  未中     -$500
  上午8:20:21  01160501  玩家021     雙  $  100  中獎     +$100
  上午8:20:21  01160501  玩家029     雙  $  200  中獎     +$200
  上午8:20:21  01160501  玩家008    20  $  200  未中     -$200
  上午8:20:22  01160501  玩家010     藍  $ 1000  未中    -$1000
  上午8:20:22  01160501  玩家018    29  $ 5000  未中    -$5000
  上午8:20:22  01160501  玩家013    22  $ 5000  未中    -$5000
  上午8:20:22  01160501  玩家024    10  $  200  未中     -$200
  上午8:20:22  01160501  玩家006     大  $ 1000  未中    -$1000
  上午8:20:22  01160501  玩家014     紅  $  500  中獎    +$5500
  上午8:20:22  01160501  玩家017     小  $  100  中獎     +$100
  上午8:20:22  01160501  玩家025    38  $ 5000  未中    -$5000
  上午8:20:22  01160501  玩家022    09  $ 2000  未中    -$2000
  上午8:20:23  01160501  玩家010     大  $  100  未中     -$100
  上午8:20:23  01160501  玩家022     綠  $  500  未中     -$500
  上午8:20:23  01160501  玩家015     雙  $ 1000  中獎    +$1000
  上午8:20:23  01160501  玩家021    06  $ 1000  未中    -$1000
  上午8:20:23  01160501  玩家004     單  $ 5000  未中    -$5000
  上午8:20:23  01160501  玩家004     雙  $  200  中獎     +$200
  上午8:20:23  01160501  玩家029    24  $  200  未中     -$200
  上午8:20:24  01160501  玩家012    11  $  200  未中     -$200
  上午8:20:24  01160501  玩家012    20  $  200  未中     -$200
  上午8:20:24  01160501  玩家009     單  $ 2000  未中    -$2000
  上午8:20:24  01160501  玩家026     大  $ 5000  未中    -$5000
  上午8:20:24  01160501  玩家013    34  $ 5000  未中    -$5000
  上午8:20:24  01160501  玩家007    08  $ 5000  未中    -$5000
  上午8:20:25  01160501  玩家016     小  $ 2000  中獎    +$2000
  上午8:20:25  01160501  玩家030     小  $ 2000  中獎    +$2000
  上午8:20:25  01160501  玩家024     小  $ 1000  中獎    +$1000
  上午8:20:25  01160501  玩家021    04  $ 2000  未中    -$2000
  上午8:20:25  01160501  玩家027     綠  $ 5000  未中    -$5000
  上午8:20:25  01160501  玩家008     雙  $ 5000  中獎    +$5000
  上午8:20:25  01160501  玩家011    20  $ 1000  未中    -$1000
  上午8:20:26  01160501  玩家024    36  $  500  未中     -$500
  上午8:20:26  01160501  玩家016     綠  $ 2000  未中    -$2000
  上午8:20:26  01160501  玩家004    30  $ 1000  未中    -$1000
  上午8:20:26  01160501  玩家003     大  $  200  未中     -$200
  上午8:20:26  01160501  玩家008     大  $  500  未中     -$500
  上午8:20:27  01160501  玩家024     綠  $  100  未中     -$100
