════════════════════════════════════════════════════════════
                    模擬下注報表
════════════════════════════════════════════════════════════

【基本資訊】
  開始時間: 2026/1/16 上午8:42:45
  結束時間: 2026/1/16 上午8:52:37
  模擬時長: 9.9 分鐘
  模擬玩家: 30 人

【總計統計】
  總期數: 9 期
  總下注筆數: 1136 筆
  總下注金額: $1,617,900
  系統總損益: $-109,700

────────────────────────────────────────────────────────────
【各期開獎記錄】
────────────────────────────────────────────────────────────
  期數          開獎  下注數  總金額      系統損益
  01160525  undefined    115筆   $  124000  $  -67400
  01160526  undefined     93筆   $  110200  $   39200
  01160527  undefined    174筆   $  263700  $  -43300
  01160528  undefined    109筆   $  158900  $   46900
  01160529  undefined    110筆   $  133400  $  -65200
  01160530  undefined    133筆   $  215300  $  -36700
  01160531  undefined     99筆   $  144400  $  -26200
  01160532  undefined    117筆   $  168400  $   23200
  01160533  undefined    106筆   $  171800  $   19800

────────────────────────────────────────────────────────────
【玩家損益排行】
────────────────────────────────────────────────────────────
  玩家        下注數  總下注      勝/負     損益
  玩家018     38筆   $   48300  14/22      +$100700
  玩家013     32筆   $   44800  12/20       +$83000
  玩家027     39筆   $   46300  11/26       +$50700
  玩家021     46筆   $   63200  15/27       +$49100
  玩家016     44筆   $   68600  13/27       +$40000
  玩家005     49筆   $   73400  10/30       +$30100
  玩家023     34筆   $   55300  7/25       +$29500
  玩家001     34筆   $   43600  11/22       +$25200
  玩家020     35筆   $   35100  10/22       +$15100
  玩家011     34筆   $   58500  4/28       +$10400
  玩家007     42筆   $   59700  9/31        +$6300
  玩家029     36筆   $   40900  11/23        +$4100
  玩家024     42筆   $   67000  15/25        -$2300
  玩家014     33筆   $   50800  6/25        -$4600
  玩家003     41筆   $   59000  10/30        -$4800
  玩家017     45筆   $   65500  9/32        -$6300
  玩家009     40筆   $   48700  11/22        -$6400
  玩家025     44筆   $   61400  10/31        -$8600
  玩家004     34筆   $   57800  9/21       -$12700
  玩家008     46筆   $   65100  12/33       -$14600
  玩家022     31筆   $   45700  8/21       -$15100
  玩家028     35筆   $   45400  8/24       -$17000
  玩家026     35筆   $   41100  6/26       -$20700
  玩家002     35筆   $   52700  6/27       -$23600
  玩家030     29筆   $   34500  6/21       -$25100
  玩家006     38筆   $   38900  7/29       -$25600
  玩家012     32筆   $   62300  9/22       -$25700
  玩家010     30筆   $   51600  4/25       -$39600
  玩家019     42筆   $   65400  7/30       -$40200
  玩家015     41筆   $   67300  6/33       -$41600

────────────────────────────────────────────────────────────
【詳細下注記錄】
────────────────────────────────────────────────────────────
  時間      期數          玩家        目標    金額      結果    損益
  上午8:43:14  01160524  玩家010     大  $ 1000  未中    -$1000
  上午8:43:15  01160524  玩家001     紅  $  500  中獎    +$5500
  上午8:43:15  01160524  玩家022     雙  $ 1000  中獎    +$1000
  上午8:43:16  01160524  玩家030    19  $  500  未中     -$500
  上午8:43:16  01160524  玩家019    22  $ 2000  未中    -$2000
  上午8:43:16  01160524  玩家003    31  $  100  未中     -$100
  上午8:43:17  01160524  玩家001     雙  $ 1000  中獎    +$1000
  上午8:43:17  01160524  玩家027     紅  $ 5000  中獎   +$55000
  上午8:43:17  01160524  玩家001     單  $  100  未中     -$100
  上午8:43:18  01160524  玩家015    32  $ 5000  未中    -$5000
  上午8:43:18  01160524  玩家030     雙  $  200  中獎     +$200
  上午8:43:18  01160524  玩家020    17  $ 2000  未中    -$2000
  上午8:43:18  01160524  玩家021    16  $ 2000  未中    -$2000
  上午8:43:19  01160524  玩家007    04  $  100  未中     -$100
  上午8:43:19  01160524  玩家003     單  $ 2000  未中    -$2000
  上午8:43:19  01160524  玩家020     雙  $ 2000  中獎    +$2000
  上午8:43:21  01160524  玩家006     單  $  100  未中     -$100
  上午8:43:21  01160524  玩家024     大  $  200  未中     -$200
  上午8:43:22  01160524  玩家014    36  $  100  未中     -$100
  上午8:43:22  01160524  玩家019     雙  $  100  中獎     +$100
  上午8:43:22  01160524  玩家016     綠  $  500  未中     -$500
  上午8:43:22  01160524  玩家017     藍  $  500  未中     -$500
  上午8:43:23  01160524  玩家012     雙  $ 1000  中獎    +$1000
  上午8:43:23  01160524  玩家025    14  $ 1000  未中    -$1000
  上午8:43:23  01160524  玩家023     藍  $ 2000  未中    -$2000
  上午8:43:23  01160524  玩家023    16  $  500  未中     -$500
  上午8:43:24  01160524  玩家026     紅  $ 1000  中獎   +$11000
  上午8:43:24  01160524  玩家013    09  $  500  未中     -$500
  上午8:43:24  01160524  玩家016     單  $ 1000  未中    -$1000
  上午8:43:24  01160524  玩家007    12  $  100  未中     -$100
  上午8:43:25  01160524  玩家025     小  $  500  中獎     +$500
  上午8:43:25  01160524  玩家030    16  $  500  未中     -$500
  上午8:43:25  01160524  玩家002     小  $  100  中獎     +$100
  上午8:43:26  01160524  玩家008    33  $ 2000  未中    -$2000
  上午8:43:26  01160524  玩家019     單  $  500  未中     -$500
  上午8:43:26  01160524  玩家024     大  $  100  未中     -$100
  上午8:43:27  01160524  玩家023     藍  $ 1000  未中    -$1000
  上午8:43:27  01160524  玩家006     小  $  200  中獎     +$200
  上午8:43:28  01160524  玩家027    10  $  500  未中     -$500
