════════════════════════════════════════════════════════════
                    模擬下注報表
════════════════════════════════════════════════════════════

【基本資訊】
  開始時間: 2026/1/16 上午11:28:26
  結束時間: 2026/1/16 上午11:38:30
  模擬時長: 10.1 分鐘
  模擬玩家: 30 人

【總計統計】
  總期數: 10 期
  總下注筆數: 1262 筆
  總下注金額: $1,883,200
  系統總損益: $-317,160

────────────────────────────────────────────────────────────
【各期開獎記錄】
────────────────────────────────────────────────────────────
  期數          開獎  下注數  總金額      系統損益
  01160690  08     27筆   $   38000  $   10040
  01160691  37    120筆   $  201200  $   63480
  01160692  13    159筆   $  229200  $  -97160
  01160693  35    101筆   $  127900  $ -105060
  01160694  01    137筆   $  249200  $   24520
  01160695  04    122筆   $  201400  $  -87080
  01160696  08    132筆   $  174200  $ -172800
  01160697  34    128筆   $  171500  $   66140
  01160698  12    117筆   $  179500  $   45620
  01160699  37    181筆   $  257300  $  -64860

────────────────────────────────────────────────────────────
【玩家損益排行】
────────────────────────────────────────────────────────────
  玩家        下注數  總下注      勝/負     損益
  玩家024     46筆   $   72200  9/35      +$328160
  玩家005     39筆   $   67100  12/26      +$172860
  玩家002     35筆   $   60900  9/26      +$135620
  玩家027     41筆   $   77700  9/31      +$134260
  玩家004     44筆   $   54400  13/31       +$39640
  玩家006     47筆   $   73100  17/28       +$35180
  玩家016     33筆   $   45200  14/17        +$4700
  玩家014     43筆   $   68400  16/26        -$2200
  玩家007     40筆   $   54600  13/26        -$5540
  玩家012     35筆   $   34000  8/25        -$7620
  玩家019     41筆   $   48500  11/27        -$9160
  玩家010     47筆   $   68800  15/31        -$9740
  玩家029     41筆   $   74800  15/26       -$12280
  玩家022     41筆   $   49100  10/29       -$13540
  玩家018     44筆   $   55100  12/30       -$14120
  玩家001     30筆   $   26100  4/24       -$18500
  玩家017     36筆   $   58600  9/25       -$18500
  玩家015     54筆   $   94300  18/35       -$20180
  玩家008     43筆   $   60000  10/31       -$20220
  玩家021     41筆   $   65200  14/26       -$23340
  玩家020     41筆   $   50900  12/27       -$23700
  玩家028     41筆   $   49400  15/25       -$25820
  玩家009     47筆   $   55100  13/34       -$27580
  玩家013     43筆   $   52200  13/29       -$29200
  玩家003     45筆   $   73000  10/34       -$30320
  玩家026     44筆   $   63600  13/31       -$34680
  玩家030     45筆   $   78700  9/36       -$39820
  玩家011     57筆   $   89600  11/43       -$42300
  玩家023     36筆   $   69600  6/29       -$46100
  玩家025     42筆   $   93000  8/33       -$58800

────────────────────────────────────────────────────────────
【詳細下注記錄】
────────────────────────────────────────────────────────────
  時間      期數          玩家        目標    金額      結果    損益
  上午11:28:42  01160689  玩家026     藍  $ 1000  未中    -$1000
  上午11:28:43  01160689  玩家004    32  $  500  未中     -$500
  上午11:28:43  01160689  玩家021     紅  $  200  中獎  +$359.99999999999994
  上午11:28:44  01160689  玩家029    15  $ 2000  未中    -$2000
  上午11:28:44  01160689  玩家005    37  $ 2000  未中    -$2000
  上午11:28:44  01160689  玩家008    01  $  200  未中     -$200
  上午11:28:44  01160689  玩家014     綠  $ 1000  未中    -$1000
  上午11:28:45  01160689  玩家009     單  $ 5000  未中    -$5000
  上午11:28:45  01160689  玩家006     大  $ 1000  未中    -$1000
  上午11:28:45  01160689  玩家021    35  $ 2000  未中    -$2000
  上午11:28:45  01160689  玩家007    34  $  200  未中     -$200
  上午11:28:46  01160689  玩家003    35  $  100  未中     -$100
  上午11:28:46  01160689  玩家007    19  $  500  未中     -$500
  上午11:28:46  01160689  玩家012     單  $ 1000  未中    -$1000
  上午11:28:46  01160689  玩家008     藍  $  200  未中     -$200
  上午11:28:47  01160689  玩家020     雙  $ 2000  中獎    +$2000
  上午11:28:47  01160689  玩家019    36  $  100  未中     -$100
  上午11:28:47  01160689  玩家023     大  $ 2000  未中    -$2000
  上午11:28:47  01160689  玩家026     雙  $  500  中獎     +$500
  上午11:28:47  01160689  玩家005    04  $ 2000  未中    -$2000
  上午11:28:48  01160689  玩家030     紅  $ 1000  中獎  +$1799.9999999999998
  上午11:28:49  01160689  玩家007     小  $ 5000  中獎    +$5000
  上午11:28:49  01160689  玩家030    16  $ 2000  未中    -$2000
  上午11:28:50  01160689  玩家020     紅  $ 2000  中獎  +$3599.9999999999995
  上午11:28:50  01160689  玩家004     藍  $ 2000  未中    -$2000
  上午11:28:50  01160689  玩家021     小  $ 2000  中獎    +$2000
  上午11:28:51  01160689  玩家001    06  $  500  未中     -$500
  上午11:29:14  01160690  玩家029     單  $ 2000  中獎    +$2000
  上午11:29:14  01160690  玩家008     雙  $ 1000  未中    -$1000
  上午11:29:14  01160690  玩家004    31  $ 5000  未中    -$5000
  上午11:29:15  01160690  玩家007     藍  $  100  未中     -$100
  上午11:29:15  01160690  玩家003    08  $  200  未中     -$200
  上午11:29:15  01160690  玩家018     單  $  500  中獎     +$500
  上午11:29:16  01160690  玩家007     綠  $ 5000  中獎    +$9000
  上午11:29:16  01160690  玩家027     紅  $ 5000  未中    -$5000
  上午11:29:16  01160690  玩家027     小  $  200  未中     -$200
  上午11:29:16  01160690  玩家010    12  $ 5000  未中    -$5000
  上午11:29:17  01160690  玩家011     紅  $ 2000  未中    -$2000
