════════════════════════════════════════════════════════════
                    模擬下注報表
════════════════════════════════════════════════════════════

【基本資訊】
  開始時間: 2026/1/16 上午11:47:05
  結束時間: 2026/1/16 上午11:57:09
  模擬時長: 10.1 分鐘
  模擬玩家: 30 人

【總計統計】
  總期數: 10 期
  總下注筆數: 1183 筆
  總下注金額: $1,671,400
  系統總損益: $316,080

────────────────────────────────────────────────────────────
【各期開獎記錄】
────────────────────────────────────────────────────────────
  期數          開獎  下注數  總金額      系統損益
  01160709  09    105筆   $  156500  $  -16940
  01160710  34    116筆   $  188900  $   99300
  01160711  29     97筆   $  116300  $   73860
  01160712  22    132筆   $  166100  $   79220
  01160713  19    129筆   $  161100  $   45700
  01160714  29    121筆   $  195000  $ -177840
  01160715  07    129筆   $  196800  $   81680
  01160716  21     98筆   $  122100  $   43740
  01160717  14    131筆   $  176700  $   50060
  01160718  03    125筆   $  191900  $   37300

────────────────────────────────────────────────────────────
【玩家損益排行】
────────────────────────────────────────────────────────────
  玩家        下注數  總下注      勝/負     損益
  玩家007     50筆   $   73700  17/33      +$151500
  玩家022     38筆   $   35900  9/29       +$56580
  玩家016     52筆   $   71400  14/38       +$49760
  玩家012     45筆   $   69100  9/36       +$22980
  玩家009     31筆   $   46200  8/23       +$22040
  玩家010     40筆   $   69300  10/30       +$10700
  玩家006     49筆   $   43200  21/28        +$3200
  玩家003     36筆   $   46700  12/24        -$3260
  玩家030     35筆   $   53300  9/26       -$10020
  玩家028     26筆   $   40000  9/17       -$13200
  玩家026     35筆   $   56400  8/27       -$14520
  玩家005     47筆   $   45100  16/31       -$15540
  玩家001     24筆   $   37800  6/18       -$16800
  玩家008     36筆   $   46800  10/26       -$19840
  玩家023     41筆   $   48000  14/27       -$21680
  玩家014     35筆   $   47500  9/26       -$25140
  玩家013     42筆   $   58100  9/33       -$25900
  玩家015     33筆   $   43200  5/28       -$26400
  玩家018     37筆   $   48900  8/29       -$29420
  玩家029     47筆   $   57300  10/37       -$31740
  玩家025     40筆   $   64700  11/29       -$32420
  玩家021     44筆   $   54600  6/38       -$35240
  玩家020     33筆   $   58300  7/26       -$36300
  玩家004     53筆   $   70900  17/36       -$36380
  玩家002     43筆   $   67600  7/36       -$38240
  玩家011     36筆   $   60900  6/30       -$38540
  玩家024     36筆   $   56900  8/28       -$38940
  玩家019     37筆   $   60300  8/29       -$40420
  玩家027     32筆   $   57400  5/27       -$41200
  玩家017     50筆   $   81900  12/38       -$41700

────────────────────────────────────────────────────────────
【詳細下注記錄】
────────────────────────────────────────────────────────────
  時間      期數          玩家        目標    金額      結果    損益
  上午11:47:19  01160708  玩家009    14  $  200  未中     -$200
  上午11:47:19  01160708  玩家025     小  $ 2000  中獎    +$2000
  上午11:47:20  01160708  玩家023    23  $ 2000  未中    -$2000
  上午11:47:21  01160708  玩家006    35  $ 2000  未中    -$2000
  上午11:47:21  01160708  玩家020     綠  $ 1000  未中    -$1000
  上午11:47:23  01160708  玩家017     綠  $ 5000  未中    -$5000
  上午11:47:23  01160708  玩家005     雙  $  100  未中     -$100
  上午11:47:23  01160708  玩家012    27  $ 2000  未中    -$2000
  上午11:47:24  01160708  玩家014    04  $ 2000  未中    -$2000
  上午11:47:24  01160708  玩家003     單  $ 5000  中獎    +$5000
  上午11:47:24  01160708  玩家016     藍  $ 1000  中獎  +$1799.9999999999998
  上午11:47:25  01160708  玩家028    32  $ 5000  未中    -$5000
  上午11:47:25  01160708  玩家013     綠  $  200  未中     -$200
  上午11:47:25  01160708  玩家013    20  $ 5000  未中    -$5000
  上午11:47:25  01160708  玩家005     大  $  100  未中     -$100
  上午11:47:26  01160708  玩家021     大  $  100  未中     -$100
  上午11:47:26  01160708  玩家025     大  $ 5000  未中    -$5000
  上午11:47:26  01160708  玩家002    38  $ 2000  未中    -$2000
  上午11:47:26  01160708  玩家004     大  $  200  未中     -$200
  上午11:47:26  01160708  玩家025    12  $  100  未中     -$100
  上午11:47:27  01160708  玩家001     雙  $  200  未中     -$200
  上午11:47:27  01160708  玩家028    05  $ 1000  未中    -$1000
  上午11:47:28  01160708  玩家023    28  $  200  未中     -$200
  上午11:47:28  01160708  玩家007     綠  $  200  未中     -$200
  上午11:47:28  01160708  玩家029     藍  $ 2000  中獎  +$3599.9999999999995
  上午11:47:28  01160708  玩家003     藍  $  500  中獎  +$899.9999999999999
  上午11:47:28  01160708  玩家017     大  $  500  未中     -$500
  上午11:47:29  01160708  玩家010    08  $  500  未中     -$500
  上午11:47:30  01160708  玩家025    20  $  200  未中     -$200
  上午11:47:30  01160708  玩家026    18  $  100  未中     -$100
  上午11:47:30  01160708  玩家013    17  $  200  未中     -$200
  上午11:47:30  01160708  玩家003    35  $  500  未中     -$500
  上午11:47:31  01160708  玩家029    34  $  500  未中     -$500
  上午11:47:31  01160708  玩家028     藍  $ 2000  中獎  +$3599.9999999999995
  上午11:47:32  01160708  玩家014    17  $ 5000  未中    -$5000
  上午11:47:32  01160708  玩家011     綠  $  200  未中     -$200
  上午11:47:33  01160708  玩家029     小  $ 1000  中獎    +$1000
  上午11:47:33  01160708  玩家023    38  $  500  未中     -$500
