════════════════════════════════════════════════════════════
                    模擬下注報表
════════════════════════════════════════════════════════════

【基本資訊】
  開始時間: 2026/1/16 下午5:20:31
  結束時間: 2026/1/16 下午5:30:35
  模擬時長: 10.1 分鐘
  模擬玩家: 30 人

【總計統計】
  總期數: 10 期
  總下注筆數: 1321 筆
  總下注金額: $1,923,500
  系統總損益: $-420,240

────────────────────────────────────────────────────────────
【各期開獎記錄】
────────────────────────────────────────────────────────────
  期數          開獎  下注數  總金額      系統損益
  01161042  13     31筆   $   54600  $   23240
  01161043  33    135筆   $  208000  $  -10920
  01161044  31    130筆   $  178500  $   37020
  01161045  21    172筆   $  237100  $ -152220
  01161046  26    188筆   $  256400  $   22920
  01161047  39    135筆   $  197700  $ -310580
  01161048  20    105筆   $  150000  $   35360
  01161049  08    108筆   $  154600  $   24720
  01161050  20    135筆   $  184300  $ -146380
  01161051  31    118筆   $  169600  $   56600

────────────────────────────────────────────────────────────
【玩家損益排行】
────────────────────────────────────────────────────────────
  玩家        下注數  總下注      勝/負     損益
  玩家030     53筆   $   57600  14/38      +$178800
  玩家018     45筆   $   70600  10/32      +$166280
  玩家025     39筆   $   54900  9/27      +$141880
  玩家022     39筆   $   53900  10/28      +$140020
  玩家015     47筆   $   45200  10/33       +$70600
  玩家013     42筆   $   71100  9/32       +$36880
  玩家017     47筆   $   63500  15/29       +$22640
  玩家023     45筆   $   66900  18/24       +$13800
  玩家009     41筆   $   68500  10/30       +$10700
  玩家006     34筆   $   50200  12/20        +$6040
  玩家026     42筆   $   63200  7/32         -$200
  玩家005     38筆   $   64500  11/27        -$2220
  玩家004     45筆   $  100900  13/29        -$2700
  玩家020     38筆   $   64400  11/25        -$5240
  玩家016     49筆   $   64900  15/31        -$7600
  玩家027     40筆   $   54700  13/25       -$10600
  玩家001     46筆   $   57400  13/31       -$11900
  玩家021     42筆   $   89700  15/25       -$13100
  玩家029     49筆   $   68700  11/36       -$13500
  玩家008     44筆   $   54200  12/28       -$15360
  玩家019     46筆   $   58700  13/32       -$20940
  玩家010     45筆   $   54700  7/35       -$21860
  玩家014     46筆   $   53100  12/33       -$22720
  玩家024     51筆   $   73400  9/38       -$24520
  玩家012     46筆   $   75200  11/33       -$26900
  玩家007     41筆   $   55800  8/32       -$28320
  玩家011     40筆   $   64100  8/30       -$29700
  玩家002     46筆   $   69600  11/33       -$31800
  玩家028     48筆   $   64600  9/37       -$36720
  玩家003     47筆   $   69300  12/34       -$41500

────────────────────────────────────────────────────────────
【詳細下注記錄】
────────────────────────────────────────────────────────────
  時間      期數          玩家        目標    金額      結果    損益
  下午5:20:44  01161041  玩家022     綠  $  100  中獎  +$179.99999999999997
  下午5:20:45  01161041  玩家019     藍  $  500  未中     -$500
  下午5:20:46  01161041  玩家017    16  $ 5000  未中    -$5000
  下午5:20:46  01161041  玩家005    35  $ 2000  未中    -$2000
  下午5:20:46  01161041  玩家029     綠  $  100  中獎  +$179.99999999999997
  下午5:20:47  01161041  玩家003     雙  $ 5000  未中    -$5000
  下午5:20:47  01161041  玩家010    18  $ 5000  未中    -$5000
  下午5:20:48  01161041  玩家030     雙  $ 2000  未中    -$2000
  下午5:20:48  01161041  玩家016    28  $  500  未中     -$500
  下午5:20:48  01161041  玩家021     單  $ 1000  中獎    +$1000
  下午5:20:48  01161041  玩家014     綠  $ 5000  中獎    +$9000
  下午5:20:49  01161041  玩家012    06  $  500  未中     -$500
  下午5:20:49  01161041  玩家017     小  $ 1000  中獎    +$1000
  下午5:20:49  01161041  玩家030    31  $ 2000  未中    -$2000
  下午5:20:49  01161041  玩家023     單  $  200  中獎     +$200
  下午5:20:49  01161041  玩家009    10  $  500  未中     -$500
  下午5:20:50  01161041  玩家005    39  $  500  未中     -$500
  下午5:20:50  01161041  玩家027     藍  $  100  未中     -$100
  下午5:20:50  01161041  玩家030    08  $ 2000  未中    -$2000
  下午5:20:50  01161041  玩家012    31  $  500  未中     -$500
  下午5:20:51  01161041  玩家005     小  $  200  中獎     +$200
  下午5:20:51  01161041  玩家008     大  $  500  未中     -$500
  下午5:20:51  01161041  玩家002     大  $  200  未中     -$200
  下午5:20:51  01161041  玩家008     雙  $ 1000  未中    -$1000
  下午5:20:51  01161041  玩家011     小  $ 5000  中獎    +$5000
  下午5:20:51  01161041  玩家010     藍  $ 2000  未中    -$2000
  下午5:20:51  01161041  玩家029     雙  $ 5000  未中    -$5000
  下午5:20:51  01161041  玩家007     藍  $ 1000  未中    -$1000
  下午5:20:52  01161041  玩家013     單  $ 1000  中獎    +$1000
  下午5:20:52  01161041  玩家024    08  $ 5000  未中    -$5000
  下午5:20:52  01161041  玩家023    14  $  200  未中     -$200
  下午5:21:14  01161042  玩家020    30  $  200  未中     -$200
  下午5:21:14  01161042  玩家019     紅  $ 2000  未中    -$2000
  下午5:21:15  01161042  玩家028    35  $  200  未中     -$200
  下午5:21:15  01161042  玩家001     單  $ 1000  中獎    +$1000
  下午5:21:15  01161042  玩家028     小  $  500  未中     -$500
  下午5:21:16  01161042  玩家016    22  $  100  未中     -$100
  下午5:21:16  01161042  玩家016    32  $  100  未中     -$100
  下午5:21:16  01161042  玩家014    01  $ 1000  未中    -$1000
